trial_number , trial_start , thresh_cross , blockvar , target_x , target_y 
0.0,10050.0,2673.0,1.0,720.0,400.0,0.0
1.0,14738.0,2341.0,0.0,720.0,400.0,1.0
2.0,19093.0,2306.0,0.0,720.0,400.0,0.0
3.0,23413.0,2871.0,0.0,720.0,400.0,0.0
4.0,28301.0,2415.0,0.0,720.0,400.0,0.0
5.0,32730.0,5307.0,0.0,720.0,400.0,0.0
6.0,40064.0,2283.0,0.0,720.0,400.0,0.0
7.0,44368.0,2397.0,0.0,720.0,400.0,0.0
8.0,48784.0,3640.0,0.0,720.0,400.0,0.0
9.0,54451.0,2270.0,0.0,720.0,400.0,0.0
10.0,58749.0,11421.0,1.0,720.0,300.0,0.0
11.0,72506.0,6790.0,1.0,720.0,300.0,1.0
12.0,81319.0,2550.0,1.0,720.0,300.0,1.0
13.0,85886.0,2604.0,1.0,720.0,300.0,1.0
14.0,90518.0,5112.0,1.0,720.0,300.0,1.0
15.0,97657.0,2391.0,1.0,720.0,300.0,1.0
16.0,102063.0,8481.0,1.0,720.0,300.0,1.0
17.0,112563.0,5744.0,1.0,720.0,300.0,1.0
18.0,120334.0,2749.0,1.0,720.0,300.0,1.0
19.0,125550.0,4617.0,1.0,720.0,300.0,1.0
20.0,132186.0,6379.0,2.0,720.0,200.0,1.0
21.0,141371.0,3187.0,2.0,720.0,200.0,2.0
22.0,146585.0,2537.0,2.0,720.0,200.0,2.0
23.0,151137.0,2591.0,2.0,720.0,200.0,2.0
24.0,155751.0,2848.0,2.0,720.0,200.0,2.0
25.0,160613.0,2350.0,2.0,720.0,200.0,2.0
26.0,164978.0,6519.0,2.0,720.0,200.0,2.0
27.0,173513.0,16665.0,2.0,720.0,200.0,2.0
28.0,192238.0,2985.0,2.0,720.0,200.0,2.0
29.0,197239.0,2412.0,2.0,720.0,200.0,2.0
30.0,201673.0,17328.0,3.0,720.0,300.0,2.0
31.0,221012.0,2244.0,3.0,720.0,300.0,3.0
32.0,225271.0,2378.0,3.0,720.0,300.0,3.0
33.0,229665.0,2387.0,3.0,720.0,300.0,3.0
34.0,234078.0,6315.0,3.0,720.0,300.0,3.0
35.0,242407.0,2397.0,3.0,720.0,300.0,3.0
36.0,246830.0,5566.0,3.0,720.0,300.0,3.0
37.0,254409.0,2398.0,3.0,720.0,300.0,3.0
38.0,258833.0,2519.0,3.0,720.0,300.0,3.0
39.0,263379.0,2805.0,3.0,720.0,300.0,3.0
40.0,268210.0,2506.0,4.0,720.0,400.0,3.0
41.0,272730.0,2919.0,4.0,720.0,400.0,4.0
42.0,277662.0,6165.0,4.0,720.0,400.0,4.0
43.0,285841.0,2251.0,4.0,720.0,400.0,4.0
44.0,290119.0,2451.0,4.0,720.0,400.0,4.0
45.0,294596.0,2789.0,4.0,720.0,400.0,4.0
46.0,299408.0,2463.0,4.0,720.0,400.0,4.0
47.0,303895.0,2248.0,4.0,720.0,400.0,4.0
48.0,308164.0,2309.0,4.0,720.0,400.0,4.0
49.0,312501.0,2287.0,4.0,720.0,400.0,4.0
